id,dataset,domain,structure,query,answer,evidence_graphml,evidence_text,source_file
CM_star_1hop_000001,CM,medicine,star_1hop,在出现卵巢部位包块、低HDL-C和肝细胞脂肪变性明显的情况下，通常更符合哪种疾病？,糖尿病,batch_000/star_1hop_00001.graphml,batch_000/star_1hop_00001.txt,output_queries_part_1.csv
CM_star_1hop_000002,CM,medicine,star_1hop,在眼睑启闭自如、黏膜面改变且直径≤1 cm的情况下，通常会考虑是什么病症？,肿瘤,batch_000/star_1hop_00002.graphml,batch_000/star_1hop_00002.txt,output_queries_part_1.csv
CM_star_1hop_000003,CM,medicine,star_1hop,在出现多结节状、钙化伴肿块、淋巴管浸润和导管扩张改变的情况下，通常会考虑哪种疾病？,乳腺癌,batch_000/star_1hop_00003.graphml,batch_000/star_1hop_00003.txt,output_queries_part_1.csv
CM_star_1hop_000004,CM,medicine,star_1hop,如果患者出现血清脂联素水平降低、EVTI下降、高胰岛素血症和皮肤湿冷的情况，通常更符合哪种疾病？,冠心病,batch_000/star_1hop_00004.graphml,batch_000/star_1hop_00004.txt,output_queries_part_1.csv
CM_star_1hop_000005,CM,medicine,star_1hop,如果一个患者睡眠不深、常常出现大汗淋漓，并且在检查中未闻及心脏杂音，这通常更符合哪种疾病？,肺癌,batch_000/star_1hop_00005.graphml,batch_000/star_1hop_00005.txt,output_queries_part_1.csv
CM_star_1hop_000006,CM,medicine,star_1hop,当一个患者的SP1表达水平、邻近组织浸润和血清TNF-α水平增高时，通常更符合哪种疾病？,胃癌,batch_000/star_1hop_00006.graphml,batch_000/star_1hop_00006.txt,output_queries_part_1.csv
CM_star_1hop_000007,CM,medicine,star_1hop,在出现瘀斑、腹部平坦、恶心和基质变淡透亮的情况下，通常考虑的是什么疾病？,肝癌,batch_000/star_1hop_00007.graphml,batch_000/star_1hop_00007.txt,output_queries_part_1.csv
CM_star_1hop_000008,CM,medicine,star_1hop,如果患者出现局限性抽搐、非对称性分布和斑块易损性高，这通常更符合哪种疾病？,脑梗死,batch_000/star_1hop_00008.graphml,batch_000/star_1hop_00008.txt,output_queries_part_1.csv
CM_star_1hop_000009,CM,medicine,star_1hop,如果一个患者出现生活不能自理、气虚血瘀、头部胀痛和应激性溃疡的情况，通常会考虑诊断为什么疾病？,急性脑梗死,batch_000/star_1hop_00009.graphml,batch_000/star_1hop_00009.txt,output_queries_part_1.csv
CM_star_1hop_000010,CM,medicine,star_1hop,患者出现呼吸困难不缓解、PA、CHE的下降、肺部无啰音以及肺功能明显降低，这种情况更符合哪种疾病？,COPD,batch_000/star_1hop_00010.graphml,batch_000/star_1hop_00010.txt,output_queries_part_1.csv
CM_star_1hop_000011,CM,medicine,star_1hop,如果一个患者出现平均血流速度降低、TNF-α升高、反跳痛和HAP增加的情况，这通常符合哪种疾病？,肝硬化,batch_000/star_1hop_00011.graphml,batch_000/star_1hop_00011.txt,output_queries_part_1.csv
CM_star_1hop_000012,CM,medicine,star_1hop,如果一个患者表现出自我源监测障碍、TSH水平升高、敏感多疑和动力性便秘，这种情况通常更符合哪种疾病？,精神分裂症,batch_000/star_1hop_00012.graphml,batch_000/star_1hop_00012.txt,output_queries_part_1.csv
CM_star_1hop_000013,CM,medicine,star_1hop,如果一个患者出现了血浆脑钠肽浓度变化、口干、轻度黄疸和运动能力下降，这种情况通常更符合哪种疾病？,心力衰竭,batch_000/star_1hop_00013.graphml,batch_000/star_1hop_00013.txt,output_queries_part_1.csv
CM_star_1hop_000014,CM,medicine,star_1hop,在出现白细胞含量显著增加、颜面发绀以及胶质细胞和血管增生的情况下，通常会考虑诊断哪种疾病？,脑出血,batch_000/star_1hop_00014.graphml,batch_000/star_1hop_00014.txt,output_queries_part_1.csv
CM_star_1hop_000015,CM,medicine,star_1hop,如果一个患者出现了8q24呈显著扩增、进食障碍、睡眠质量下降和呛咳的情况，通常会考虑诊断为哪种疾病？,食管癌,batch_000/star_1hop_00015.graphml,batch_000/star_1hop_00015.txt,output_queries_part_1.csv
CM_star_1hop_000016,CM,medicine,star_1hop,同时出现少气懒言、头晕、不确定感和憋喘的情况通常更符合哪种疾病？,糖尿病肾病,batch_000/star_1hop_00016.graphml,batch_000/star_1hop_00016.txt,output_queries_part_1.csv
CM_star_1hop_000017,CM,medicine,star_1hop,在出现菌群紊乱、浸润尿路和抑郁的情况下，通常会考虑诊断哪种疾病？,结直肠癌,batch_000/star_1hop_00017.graphml,batch_000/star_1hop_00017.txt,output_queries_part_1.csv
CM_star_1hop_000018,CM,medicine,star_1hop,如果一个患者E/A比值明显下降，同时出现抑郁和血压昼夜节律更加紊乱的情况，通常会考虑诊断为哪种疾病？,原发性高血压,batch_000/star_1hop_00018.graphml,batch_000/star_1hop_00018.txt,output_queries_part_1.csv
CM_star_1hop_000019,CM,medicine,star_1hop,对于同时出现放射性张口困难、停经和斑块形成的情况，通常会考虑诊断哪种疾病？,鼻咽癌,batch_000/star_1hop_00019.graphml,batch_000/star_1hop_00019.txt,output_queries_part_1.csv
CM_star_1hop_000020,CM,medicine,star_1hop,如果一个患者出现低能量、骨量流失严重、关节功能更差和焦虑的情况，通常会考虑诊断为什么疾病？,骨质疏松,batch_000/star_1hop_00020.graphml,batch_000/star_1hop_00020.txt,output_queries_part_1.csv
