id,dataset,domain,structure,query,answer,evidence_graphml,evidence_text,source_file
UD_star_1hop_000001,UD,biography,star_1hop,"Who is linked to KEEN FISCAL SENSE, DR. MERRYMAN, THE MATCH, and PREACHERS, LAWYERS, AND HIRED AGENTS?",LINCOLN,batch_000/star_1hop_00001.graphml,batch_000/star_1hop_00001.txt,output_queries_part_1.csv
UD_star_1hop_000002,UD,history,star_1hop,"Who implemented NAZI POLICIES, promoted EXPANSIONISM, and had views on SLAVIC PEOPLES, as reported by the SPD?",HITLER,batch_000/star_1hop_00002.graphml,batch_000/star_1hop_00002.txt,output_queries_part_1.csv
UD_star_1hop_000003,UD,physics,star_1hop,"Who was depicted as a Swiss Jew in ENGLAND, presided over a lecture at KING'S COLLEGE, appreciated the music of BEETHOVEN, and had a conversation with THE AUTHOR about buying lunch?",EINSTEIN,batch_000/star_1hop_00003.graphml,batch_000/star_1hop_00003.txt,output_queries_part_1.csv
UD_star_1hop_000004,UD,fiction,star_1hop,"Who shares their opinion on CLASSICS while discussing LIFE CHOICES and has a connection with CARLISLE, as well as a RACING HEART during emotional moments?",BELLA,batch_000/star_1hop_00004.graphml,batch_000/star_1hop_00004.txt,output_queries_part_1.csv
UD_star_1hop_000005,UD,psychology,star_1hop,"What is the name of the person who is consuming CALORIES, is discussed by DELIA, undergoes BMIS tests, and seeks help from MR. R.?",KITTY,batch_000/star_1hop_00005.graphml,batch_000/star_1hop_00005.txt,output_queries_part_1.csv
UD_star_1hop_000006,UD,art,star_1hop,"Who is the person whose story features HARVEY JERMAN, had a complex marital dynamic with FANIA, introduced New Yorkers to SALOME: THE MOST SENSATIONAL OPERA OF THE AGE, and admired MAHALA DUTTON for her unconventional lifestyle?",VAN VECHTEN,batch_000/star_1hop_00006.graphml,batch_000/star_1hop_00006.txt,output_queries_part_1.csv
UD_star_1hop_000007,UD,biography,star_1hop,"What significant figure was involved in SHOCK TREATMENTS, attended the BUCKNER COMING-OUT PARTY, had MAGNOLIAS at her funeral, and was described as having a STATE VISIT at the Chelsea?",EDIE,batch_000/star_1hop_00007.graphml,batch_000/star_1hop_00007.txt,output_queries_part_1.csv
UD_star_1hop_000008,UD,biography,star_1hop,"Who was instrumental in the defense of ISRAEL, formed a GOVERNING COALITION, and worked with the RELIGIOUS FRONT while advising AVIGDOR?",BEN-GURION,batch_000/star_1hop_00008.graphml,batch_000/star_1hop_00008.txt,output_queries_part_1.csv
UD_star_1hop_000009,UD,philosophy,star_1hop,"Who is a proponent of DIALECTICAL MATERIALISM, explores IDEALISM, discusses MEMORY, and lived in EAST GERMANY?",BLOCH,batch_000/star_1hop_00009.graphml,batch_000/star_1hop_00009.txt,output_queries_part_1.csv
UD_star_1hop_000010,UD,psychology,star_1hop,"What condition impacts a CHILD's behavior and learning, is linked to SHORT-TERM MEMORY challenges, classified as TYPE 4: TEMPORAL LOBE ADD, and is treated with METHYLPHENIDATE (RITALIN)?",ADD,batch_000/star_1hop_00010.graphml,batch_000/star_1hop_00010.txt,output_queries_part_1.csv
