id,dataset,domain,structure,query,answer,evidence_graphml,evidence_text,source_file
FB_star_1hop_000001,FB,freebase,star_1hop,"Which country contains Kansas City, the University of Connecticut, and Philadelphia?",United States of America,batch_000/star_1hop_00001.graphml,batch_000/star_1hop_00001.txt,output_queries_part_1.csv
FB_star_1hop_000002,FB,freebase,star_1hop,"New Zealand national football team, FC Thun, and Esporte Clube Bahia are all teams associated with players in which playing position?",Forward,batch_000/star_1hop_00002.graphml,batch_000/star_1hop_00002.txt,output_queries_part_1.csv
FB_star_1hop_000003,FB,freebase,star_1hop,"Lil Wayne, David Gilmour, George Benson, and Alison Krauss are all performers associated with what?",Guitar,batch_000/star_1hop_00003.graphml,batch_000/star_1hop_00003.txt,output_queries_part_1.csv
FB_star_1hop_000004,FB,freebase,star_1hop,"Antigua and Barbuda national football team, OFI Crete, Notts County F.C., and FC Shakhtar Donetsk are all teams associated with players in which playing position?",Defender,batch_000/star_1hop_00004.graphml,batch_000/star_1hop_00004.txt,output_queries_part_1.csv
FB_star_1hop_000005,FB,freebase,star_1hop,"Which position includes players from Philadelphia Union, Barnet F.C., Gambia national football team, and FC Dinamo Tbilisi?",Midfielder,batch_000/star_1hop_00005.graphml,batch_000/star_1hop_00005.txt,output_queries_part_1.csv
FB_star_1hop_000006,FB,freebase,star_1hop,"Towson University, Indiana University Bloomington, Western Kentucky University, and Florida Atlantic University are all described by which category?",President,batch_000/star_1hop_00006.graphml,batch_000/star_1hop_00006.txt,output_queries_part_1.csv
FB_star_1hop_000007,FB,freebase,star_1hop,"What position includes players from Aberdeen F.C., Al-Hilal FC, and FC Levadia Tallinn?",Goalkeeper,batch_000/star_1hop_00007.graphml,batch_000/star_1hop_00007.txt,output_queries_part_1.csv
FB_star_1hop_000008,FB,freebase,star_1hop,"What degree do graduates from Magdalen College, Oxford, Wellesley College, Denzel Washington, and the University of Glasgow all have?",Bachelor of Arts,batch_000/star_1hop_00008.graphml,batch_000/star_1hop_00008.txt,output_queries_part_1.csv
FB_star_1hop_000009,FB,freebase,star_1hop,"Which country contains Maidstone, West Berkshire, Wimbledon, and Southend-on-Sea?",United Kingdom,batch_000/star_1hop_00009.graphml,batch_000/star_1hop_00009.txt,output_queries_part_1.csv
FB_star_1hop_000010,FB,freebase,star_1hop,"What type of union is found in Amsterdam, Dessau, Porto Alegre, and Cannes?",Marriage,batch_000/star_1hop_00010.graphml,batch_000/star_1hop_00010.txt,output_queries_part_1.csv
FB_star_1hop_000011,FB,freebase,star_1hop,"Bryan Adams, Harry Connick, Jr., Barry Manilow, and John Williams are all performers associated with what?",Piano,batch_000/star_1hop_00011.graphml,batch_000/star_1hop_00011.txt,output_queries_part_1.csv
FB_star_1hop_000012,FB,freebase,star_1hop,"What genre includes the media titles Quills, Rocky, Bobby, and Romeo + Juliet?",Drama,batch_000/star_1hop_00012.graphml,batch_000/star_1hop_00012.txt,output_queries_part_1.csv
FB_star_1hop_000013,FB,freebase,star_1hop,"Babyface, PJ Harvey, Kanye West, and Freddie Mercury are all performers associated with what?",Keyboard,batch_000/star_1hop_00013.graphml,batch_000/star_1hop_00013.txt,output_queries_part_1.csv
FB_star_1hop_000014,FB,freebase,star_1hop,"Which degree is awarded to students by Montana State University - Bozeman, Davidson College, and Bowling Green State University?",Bachelor of Science,batch_000/star_1hop_00014.graphml,batch_000/star_1hop_00014.txt,output_queries_part_1.csv
FB_star_1hop_000015,FB,freebase,star_1hop,"Jack Bruce, Jemaine Clement, Lou Reed, and Tom Petty are all performers associated with what?",Bass guitar,batch_000/star_1hop_00015.graphml,batch_000/star_1hop_00015.txt,output_queries_part_1.csv
FB_star_1hop_000016,FB,freebase,star_1hop,"Which genre has Rick James, The Edge, and Leonard Cohen as its artists?",Rock music,batch_000/star_1hop_00016.graphml,batch_000/star_1hop_00016.txt,output_queries_part_1.csv
FB_star_1hop_000017,FB,freebase,star_1hop,"Which award has Up in the Air, District 9, and Mrs. Miniver as nominees?",Academy Award for Best Picture,batch_000/star_1hop_00017.graphml,batch_000/star_1hop_00017.txt,output_queries_part_1.csv
FB_star_1hop_000018,FB,freebase,star_1hop,"What degree do people from the College of William and Mary, Florida Atlantic University, and Duke University have?",Bachelor's degree,batch_000/star_1hop_00018.graphml,batch_000/star_1hop_00018.txt,output_queries_part_1.csv
FB_star_1hop_000019,FB,freebase,star_1hop,"Which genre has Johnny Yong Bosch, Brandy Norwood, and Chris Cornell as artists?",Pop music,batch_000/star_1hop_00019.graphml,batch_000/star_1hop_00019.txt,output_queries_part_1.csv
FB_star_1hop_000020,FB,freebase,star_1hop,"What group do Mel Blanc, Carl Sagan, and Gene Wilder belong to?",Jewish people,batch_000/star_1hop_00020.graphml,batch_000/star_1hop_00020.txt,output_queries_part_1.csv
